1299966476	Kaljurand K
1299131836	dlink
1298979491	free-hotspot.com
1298312479	bbox2-e738
1297868913	Zonnekompas
1297414354	TELENETHOTSPOT
1296499181	Wifi/5
1293886268	Telenor
1293869739	lamantin
1291632048	Volanbusz
1291445886	Pensiunea Casa Leone
1291387747	HG520b
1291061110	KFC_life_taste_great
1290333208	lamantin
1290332374	TP-LINK_A4573A
1287395657	Star
1287354412	MrPo
1286395882	MrPo
1286395125	TRENDnet
1286350742	Kairi
1286344218	linksys
1286284182	Sebe-KOU-106
1286194415	Kivi Kõrts
1286179080	Kallaste Infopunkt
1286102393	SEBE-KOU-328
1285509347	Helsingin kaupungin WLAN
1285455791	floweringhouse
1284642699	123
1284284370	PCCW
1284263399	NWFF-Free WiFi
1284205070	Cafe Deco
1284179557	wifigo
1284175170	Ichiban
1284123965	sgrhkhkap
1284123868	TP-LINK_C586D2
1284004038	TST Kowloon Guest House
1283925322	burgerkingFREE
1283866627	Wifi.HolidayInn
1283836112	-Y5ZONE-
1283668918	freegovwifi
1283658905	3HKWi-FiService
1283416065	Webus Network
1283415790	Guest_WiFi
1283323981	chungkingmansionskowloonhongkong
1283273506	MumbaiAirport PassengerInternet
1283269755	MumbaiAirportPassengerInternet
1283267897	MumbaiAirport Passenger Internet
1283194009	tikona 18002090044
1283058953	DLX
1282644109	PLATINUWING
1282643929	Hemato-onco
1282571685	Tata Indicom Wi-Fi
1282307565	anklesaria
1282057043	linksys_SES_39937
1281786009	HappyHouse_WiFi
1281673786	apple96
1281670269	truewifi
1281484237	TASOM GUEST HOUSE1
1281086014	OnLineHS-TEL-02
1281085873	ClickNet1
1280839982	Fullmoon
1280762295	Lucky Internet
1280760356	Rainyseasonpizza
1280752991	Online HotSpot1
1280752001	BEACH ROAD HOTEL 3
1280710255	King Guesthouse
1280580612	Mekong-River open24H
1280532283	VINH PHUOC
1280469223	Comtrend
1280416458	KS.HUY HOANG
1280335170	Thien Hong Hotel 1st Floor
1280274821	Guest
1280226843	sama
1280128584	asia kitchen2
1280031744	Sea_Winds_Resort 1
1279699306	RIVER PRINCE 01
1279675438	Tenda
1279675373	tinokus
1279675203	Mrkhanhdeptrai@gmail.com
1279674801	mydung_t2
1279674306	PROLiNK-H5301G
1279674025	Hotel Chanh Tuan
1279673901	Dongduonghotel
1279673731	dongduong1
1279673649	Novotel_Nhatrang
1279673507	VINH QUANG HOTEL
1279673417	THANH XUAN HOTEL 100 TP
1279668570	KS Nhi Hang
1279668333	SONGLINH2
1279668255	Ha Thu Hotel 1
1279639239	ThienThanhHotel
1279639127	UNI
1279537258	Vista_cafe
1279514762	Kenmap
1279465345	haicafe
1279339129	HotelNgocBinh
1279216239	HotelNgocBinh4
1279104675	TP-LINK_F07686
1279101760	VIET FUN 2
1278621375	TrungNamHaiHotel5
1278617665	NamTrungHaiHotel7
1278374544	VillachampaI
1278091324	Villachampa2
1277561375	DLINK_WIRELESS
1277540127	PATTARAWADEE
1277528976	goldenroads
1276856372	Wild_Orchid_Internet
1276848158	3BB_Hotspot@Se-edbook SSBKK-0020
1276846556	tawifi
1276785802	Bella Wifi
1276513234	TOT_Wi-Fi
1276513164	POKKONG
1276335377	ts
1276158935	wlan-ap
1276154194	Banana Pasta
1275894164	cp6
1275894004	LEMERIDIEN-GUEST
1275692977	tourist
1275647319	cf cafe
1275645591	RTL8186-default
1275552943	Rapid-Penang1
1275454368	Penang Free WiFi
1275451718	OASIS HOTEL
